rank	kanji	kind
1	人	Kyōiku (1st grade)
2	言	Kyōiku (2nd grade)
3	見	Kyōiku (1st grade)
4	一	Kyōiku (1st grade)
5	出	Kyōiku (1st grade)
6	気	Kyōiku (1st grade)
7	思	Kyōiku (2nd grade)
8	手	Kyōiku (1st grade)
9	何	Kyōiku (2nd grade)
10	分	Kyōiku (2nd grade)
11	俺	Jōyō
12	大	Kyōiku (1st grade)
13	上	Kyōiku (1st grade)
14	私	Kyōiku (6th grade)
15	前	Kyōiku (2nd grade)
16	間	Kyōiku (2nd grade)
17	女	Kyōiku (1st grade)
18	事	Kyōiku (3rd grade)
19	今	Kyōiku (2nd grade)
20	子	Kyōiku (1st grade)
21	中	Kyōiku (1st grade)
22	自	Kyōiku (2nd grade)
23	目	Kyōiku (1st grade)
24	生	Kyōiku (1st grade)
25	日	Kyōiku (1st grade)
26	時	Kyōiku (2nd grade)
27	行	Kyōiku (2nd grade)
28	方	Kyōiku (2nd grade)
29	来	Kyōiku (2nd grade)
30	彼	Jōyō
31	様	Kyōiku (3rd grade)
32	本	Kyōiku (1st grade)
33	力	Kyōiku (1st grade)
34	魔	Jōyō
35	話	Kyōiku (2nd grade)
36	体	Kyōiku (2nd grade)
37	者	Kyōiku (3rd grade)
38	入	Kyōiku (1st grade)
39	下	Kyōiku (1st grade)
40	先	Kyōiku (1st grade)
41	感	Kyōiku (3rd grade)
42	当	Kyōiku (2nd grade)
43	合	Kyōiku (2nd grade)
44	後	Kyōiku (2nd grade)
45	顔	Kyōiku (2nd grade)
46	無	Kyōiku (4th grade)
47	動	Kyōiku (3rd grade)
48	部	Kyōiku (3rd grade)
49	少	Kyōiku (2nd grade)
50	持	Kyōiku (3rd grade)
51	物	Kyōiku (3rd grade)
52	知	Kyōiku (2nd grade)
53	意	Kyōiku (3rd grade)
54	心	Kyōiku (2nd grade)
55	度	Kyōiku (3rd grade)
56	聞	Kyōiku (2nd grade)
57	二	Kyōiku (1st grade)
58	立	Kyōiku (1st grade)
59	全	Kyōiku (3rd grade)
60	理	Kyōiku (2nd grade)
61	声	Kyōiku (2nd grade)
62	場	Kyōiku (2nd grade)
63	身	Kyōiku (3rd grade)
64	会	Kyōiku (2nd grade)
65	向	Kyōiku (3rd grade)
66	僕	Jōyō
67	同	Kyōiku (2nd grade)
68	取	Kyōiku (3rd grade)
69	笑	Kyōiku (4th grade)
70	戦	Kyōiku (4th grade)
71	的	Kyōiku (4th grade)
72	通	Kyōiku (2nd grade)
73	最	Kyōiku (4th grade)
74	地	Kyōiku (2nd grade)
75	込	Jōyō
76	不	Kyōiku (4th grade)
77	長	Kyōiku (2nd grade)
78	口	Kyōiku (1st grade)
79	考	Kyōiku (2nd grade)
80	変	Kyōiku (4th grade)
81	実	Kyōiku (3rd grade)
82	達	Kyōiku (4th grade)
83	年	Kyōiku (1st grade)
84	違	Jōyō
85	回	Kyōiku (2nd grade)
86	家	Kyōiku (2nd grade)
87	王	Kyōiku (1st grade)
88	葉	Kyōiku (3rd grade)
89	味	Kyōiku (3rd grade)
90	食	Kyōiku (2nd grade)
91	情	Kyōiku (5th grade)
92	面	Kyōiku (3rd grade)
93	男	Kyōiku (1st grade)
94	使	Kyōiku (3rd grade)
95	作	Kyōiku (2nd grade)
96	外	Kyōiku (2nd grade)
97	悪	Kyōiku (3rd grade)
98	付	Kyōiku (4th grade)
99	小	Kyōiku (1st grade)
100	切	Kyōiku (2nd grade)
101	強	Kyōiku (2nd grade)
102	確	Kyōiku (5th grade)
103	性	Kyōiku (5th grade)
104	国	Kyōiku (2nd grade)
105	明	Kyōiku (2nd grade)
106	対	Kyōiku (3rd grade)
107	所	Kyōiku (3rd grade)
108	死	Kyōiku (3rd grade)
109	世	Kyōiku (3rd grade)
110	相	Kyōiku (3rd grade)
111	真	Kyōiku (3rd grade)
112	屋	Kyōiku (3rd grade)
113	君	Kyōiku (3rd grade)
114	神	Kyōiku (3rd grade)
115	学	Kyōiku (1st grade)
116	着	Kyōiku (3rd grade)
117	開	Kyōiku (3rd grade)
118	引	Kyōiku (2nd grade)
119	返	Kyōiku (3rd grade)
120	界	Kyōiku (3rd grade)
121	然	Kyōiku (4th grade)
122	足	Kyōiku (1st grade)
123	頭	Kyōiku (2nd grade)
124	近	Kyōiku (2nd grade)
125	法	Kyōiku (4th grade)
126	待	Kyōiku (3rd grade)
127	以	Kyōiku (4th grade)
128	名	Kyōiku (1st grade)
129	用	Kyōiku (2nd grade)
130	音	Kyōiku (1st grade)
131	好	Kyōiku (4th grade)
132	結	Kyōiku (4th grade)
133	仕	Kyōiku (3rd grade)
134	誰	Jōyō
135	高	Kyōiku (2nd grade)
136	落	Kyōiku (3rd grade)
137	直	Kyōiku (2nd grade)
138	空	Kyōiku (1st grade)
139	内	Kyōiku (2nd grade)
140	問	Kyōiku (3rd grade)
141	解	Kyōiku (5th grade)
142	発	Kyōiku (3rd grade)
143	撃	Jōyō
144	色	Kyōiku (2nd grade)
145	現	Kyōiku (5th grade)
146	決	Kyōiku (3rd grade)
147	教	Kyōiku (2nd grade)
148	士	Kyōiku (5th grade)
149	続	Kyōiku (4th grade)
150	能	Kyōiku (5th grade)
151	振	Jōyō
152	覚	Kyōiku (4th grade)
153	良	Kyōiku (4th grade)
154	三	Kyōiku (1st grade)
155	指	Kyōiku (3rd grade)
156	正	Kyōiku (1st grade)
157	数	Kyōiku (2nd grade)
158	白	Kyōiku (1st grade)
159	要	Kyōiku (4th grade)
160	視	Kyōiku (6th grade)
161	受	Kyōiku (3rd grade)
162	信	Kyōiku (4th grade)
163	張	Kyōiku (5th grade)
164	表	Kyōiku (3rd grade)
165	十	Kyōiku (1st grade)
166	飛	Kyōiku (4th grade)
167	突	Jōyō
168	別	Kyōiku (4th grade)
169	初	Kyōiku (4th grade)
170	連	Kyōiku (4th grade)
171	道	Kyōiku (2nd grade)
172	殺	Kyōiku (5th grade)
173	止	Kyōiku (2nd grade)
174	愛	Kyōiku (4th grade)
175	必	Kyōiku (4th grade)
176	戻	Jōyō
177	早	Kyōiku (1st grade)
178	定	Kyōiku (3rd grade)
179	残	Kyōiku (4th grade)
180	元	Kyōiku (2nd grade)
181	終	Kyōiku (3rd grade)
182	可	Kyōiku (5th grade)
183	関	Kyōiku (4th grade)
184	夫	Kyōiku (4th grade)
185	多	Kyōiku (2nd grade)
186	金	Kyōiku (1st grade)
187	呼	Kyōiku (6th grade)
188	姿	Kyōiku (6th grade)
189	機	Kyōiku (4th grade)
190	代	Kyōiku (3rd grade)
191	始	Kyōiku (3rd grade)
192	主	Kyōiku (3rd grade)
193	父	Kyōiku (2nd grade)
194	歩	Kyōiku (2nd grade)
195	重	Kyōiku (3rd grade)
196	族	Kyōiku (3rd grade)
197	勝	Kyōiku (3rd grade)
198	書	Kyōiku (2nd grade)
199	光	Kyōiku (2nd grade)
200	楽	Kyōiku (2nd grade)
201	命	Kyōiku (3rd grade)
202	配	Kyōiku (3rd grade)
203	息	Kyōiku (3rd grade)
204	帰	Kyōiku (2nd grade)
205	起	Kyōiku (3rd grade)
206	風	Kyōiku (2nd grade)
207	他	Kyōiku (3rd grade)
208	流	Kyōiku (3rd grade)
209	化	Kyōiku (3rd grade)
210	線	Kyōiku (2nd grade)
211	想	Kyōiku (3rd grade)
212	応	Kyōiku (5th grade)
213	状	Kyōiku (5th grade)
214	水	Kyōiku (1st grade)
215	美	Kyōiku (3rd grade)
216	剣	Jōyō
217	離	Jōyō
218	得	Kyōiku (5th grade)
219	過	Kyōiku (5th grade)
220	我	Kyōiku (6th grade)
221	次	Kyōiku (3rd grade)
222	在	Kyōiku (5th grade)
223	置	Kyōiku (4th grade)
224	放	Kyōiku (3rd grade)
225	調	Kyōiku (3rd grade)
226	安	Kyōiku (3rd grade)
227	背	Kyōiku (6th grade)
228	親	Kyōiku (2nd grade)
229	絶	Kyōiku (5th grade)
230	緒	Jōyō
231	丈	Jōyō
232	失	Kyōiku (4th grade)
233	首	Kyōiku (2nd grade)
234	室	Kyōiku (2nd grade)
235	反	Kyōiku (3rd grade)
236	伝	Kyōiku (4th grade)
237	貴	Kyōiku (6th grade)
238	天	Kyōiku (1st grade)
239	成	Kyōiku (4th grade)
240	母	Kyōiku (2nd grade)
241	夜	Kyōiku (2nd grade)
242	倒	Jōyō
243	術	Kyōiku (5th grade)
244	苦	Kyōiku (3rd grade)
245	瞬	Jōyō
246	番	Kyōiku (2nd grade)
247	員	Kyōiku (3rd grade)
248	嫌	Jōyō
249	抜	Jōyō
250	題	Kyōiku (3rd grade)
251	消	Kyōiku (3rd grade)
252	月	Kyōiku (1st grade)
253	兄	Kyōiku (2nd grade)
254	逃	Jōyō
255	乗	Kyōiku (3rd grade)
256	浮	Jōyō
257	新	Kyōiku (2nd grade)
258	答	Kyōiku (2nd grade)
259	存	Kyōiku (6th grade)
260	果	Kyōiku (4th grade)
261	集	Kyōiku (3rd grade)
262	由	Kyōiku (3rd grade)
263	態	Kyōiku (5th grade)
264	馬	Kyōiku (2nd grade)
265	頼	Jōyō
266	認	Kyōiku (6th grade)
267	敵	Kyōiku (6th grade)
268	報	Kyōiku (5th grade)
269	特	Kyōiku (4th grade)
270	断	Kyōiku (5th grade)
271	黒	Kyōiku (2nd grade)
272	校	Kyōiku (1st grade)
273	軍	Kyōiku (4th grade)
274	素	Kyōiku (5th grade)
275	進	Kyōiku (3rd grade)
276	優	Kyōiku (6th grade)
277	助	Kyōiku (3rd grade)
278	業	Kyōiku (3rd grade)
279	輩	Jōyō
280	車	Kyōiku (1st grade)
281	願	Kyōiku (4th grade)
282	血	Kyōiku (3rd grade)
283	守	Kyōiku (3rd grade)
284	追	Kyōiku (3rd grade)
285	抱	Jōyō
286	文	Kyōiku (1st grade)
287	囲	Kyōiku (5th grade)
288	形	Kyōiku (2nd grade)
289	精	Kyōiku (5th grade)
290	構	Kyōiku (5th grade)
291	転	Kyōiku (3rd grade)
292	押	Jōyō
293	走	Kyōiku (2nd grade)
294	腕	Jōyō
295	説	Kyōiku (4th grade)
296	姉	Kyōiku (2nd grade)
297	胸	Kyōiku (6th grade)
298	負	Kyōiku (3rd grade)
299	兵	Kyōiku (4th grade)
300	痛	Kyōiku (6th grade)
301	赤	Kyōiku (1st grade)
302	店	Kyōiku (2nd grade)
303	座	Kyōiku (6th grade)
304	段	Kyōiku (6th grade)
305	識	Kyōiku (5th grade)
306	備	Kyōiku (5th grade)
307	遠	Kyōiku (2nd grade)
308	加	Kyōiku (4th grade)
309	点	Kyōiku (2nd grade)
310	深	Kyōiku (3rd grade)
311	打	Kyōiku (3rd grade)
312	師	Kyōiku (5th grade)
313	限	Kyōiku (5th grade)
314	寄	Kyōiku (5th grade)
315	攻	Jōyō
316	半	Kyōiku (2nd grade)
317	予	Kyōiku (3rd grade)
318	差	Kyōiku (4th grade)
319	触	Jōyō
320	常	Kyōiku (5th grade)
321	急	Kyōiku (3rd grade)
322	両	Kyōiku (3rd grade)
323	普	Jōyō
324	山	Kyōiku (1st grade)
325	広	Kyōiku (2nd grade)
326	告	Kyōiku (5th grade)
327	殿	Jōyō
328	周	Kyōiku (4th grade)
329	石	Kyōiku (1st grade)
330	運	Kyōiku (3rd grade)
331	恐	Jōyō
332	寝	Jōyō
333	程	Kyōiku (5th grade)
334	険	Kyōiku (5th grade)
335	件	Kyōiku (5th grade)
336	花	Kyōiku (1st grade)
337	格	Kyōiku (5th grade)
338	任	Kyōiku (5th grade)
339	髪	Jōyō
340	望	Kyōiku (4th grade)
341	記	Kyōiku (2nd grade)
342	服	Kyōiku (3rd grade)
343	供	Kyōiku (6th grade)
344	平	Kyōiku (3rd grade)
345	隊	Kyōiku (4th grade)
346	木	Kyōiku (1st grade)
347	都	Kyōiku (3rd grade)
348	約	Kyōiku (4th grade)
349	活	Kyōiku (2nd grade)
350	海	Kyōiku (2nd grade)
351	四	Kyōiku (1st grade)
352	勢	Kyōiku (5th grade)
353	期	Kyōiku (3rd grade)
354	火	Kyōiku (1st grade)
355	器	Kyōiku (4th grade)
356	単	Kyōiku (4th grade)
357	組	Kyōiku (2nd grade)
358	鳴	Kyōiku (2nd grade)
359	選	Kyōiku (4th grade)
360	完	Kyōiku (4th grade)
361	電	Kyōiku (2nd grade)
362	利	Kyōiku (4th grade)
363	語	Kyōiku (2nd grade)
364	異	Kyōiku (6th grade)
365	装	Kyōiku (6th grade)
366	料	Kyōiku (4th grade)
367	野	Kyōiku (2nd grade)
368	隠	Jōyō
369	係	Kyōiku (3rd grade)
370	驚	Jōyō
371	肉	Kyōiku (2nd grade)
372	第	Kyōiku (3rd grade)
373	騎	Jōyō
374	団	Kyōiku (5th grade)
375	再	Kyōiku (5th grade)
376	経	Kyōiku (5th grade)
377	満	Kyōiku (4th grade)
378	側	Kyōiku (4th grade)
379	公	Kyōiku (2nd grade)
380	掛	Jōyō
381	怒	Jōyō
382	欲	Kyōiku (6th grade)
383	仲	Kyōiku (4th grade)
384	際	Kyōiku (5th grade)
385	礼	Kyōiku (3rd grade)
386	奴	Jōyō
